Title,Views,Notes
FDIC Failed Bank List,1350,"Federal Deposit Insurance Corporation —
The FDIC is often appointed as receiver for failed banks. This list includes banks which have failed since October 1, 2000."
National Student Loan Data System,1337,"Department of Education —
The National Student Loan Data System (NSLDS) is the national database of information about loans and grants awarded to students under Title IV of the Higher..."
"Nutrition, Physical Activity, and Obesity - Behavioral Risk Factor Surveillance System",1335,"U.S. Department of Health & Human Services —
This dataset includes data on adult's diet, physical activity, and weight status from Behavioral Risk Factor Surveillance System. This data is used for DNPAO's Data,..."
U.S. Chronic Disease Indicators,1307,"U.S. Department of Health & Human Services —
CDC's Division of Population Health provides a cross-cutting set of 115 indicators developed by consensus among CDC, the Council of State and Territorial..."
Supply Chain Greenhouse Gas Emission Factors v1.2 by NAICS-6,1130,"U.S. Environmental Protection Agency —
The datasets are comprised of greenhouse gas (GHG) emission factors (Factors) for 1,016 U.S. commodities as defined by the 2017 version of the North American Industry..."
Real Estate Sales 2001-2022 GL,1009,"State of Connecticut —
The Office of Policy and Management maintains a listing of all real estate sales with a sales price of $2,000 or greater that occur between October 1 and September 30..."
Provisional COVID-19 Deaths by Sex and Age,898,"U.S. Department of Health & Human Services —
Effective September 27, 2023, this dataset will no longer be updated. Similar data are accessible from wonder.cdc.gov. Deaths involving COVID-19, pneumonia, and..."
"NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human",893,"U.S. Department of Health & Human Services —
NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories,..."
U.S. Hourly Precipitation Data,844,"National Oceanic and Atmospheric Administration, Department of Commerce —
Hourly Precipitation Data (HPD) is digital data set DSI-3240, archived at the National Climatic Data Center (NCDC). The primary source of data for this file is..."
Mental Health Care in the Last 4 Weeks,811,"U.S. Department of Health & Human Services —
The U.S. Census Bureau, in collaboration with five federal agencies, launched the Household Pulse Survey to produce data on the social and economic impacts of..."
Harmonized Tariff Schedule of the United States (2025),787,"US International Trade Commission —
This dataset is the current 2025 Harmonized Tariff Schedule plus all revisions for the current year. It provides the applicable tariff rates and statistical..."
Food Price Outlook,787,"Department of Agriculture —
The Consumer Price Index (CPI) for food is a component of the all-items CPI. The CPI measures the average change over time in the prices paid by urban consumers for a..."
Lottery Mega Millions Winning Numbers: Beginning 2002,668,"State of New York —
Go to http://on.ny.gov/1J8tPSN on the New York Lottery website for past Mega Millions results and payouts."
2016-17 - 2020-21 School End-of-Year Attendance and Chronic Absenteeism Data,623,"City of New York —
Overall attendance data include students in Districts 1-32 and 75 (Special Education). Students in District 79 (Alternative Schools & Programs), charter schools,..."
"Drug overdose death rates, by drug type, sex, age, race, and Hispanic origin: United States",611,"U.S. Department of Health & Human Services —
Data on drug overdose death rates, by drug type and selected population characteristics. Please refer to the PDF or Excel version of this table in the HUS 2019 Data..."
Civil Rights Data Collection (CRDC) for the 2017-18 school year,610,"Department of Education —
The Civil Rights Data Collection, 2017-18 (CRDC 2017-18) is part of the Civil Rights Data Collection (CRDC) program; program data are available beginning with the..."
Crime Incidents in 2024,609,"District of Columbia —
The dataset contains a subset of locations and attributes of incidents reported in the ASAP (Analytical Services Application) crime report database by the District of..."
Alzheimer's Disease and Healthy Aging Data,609,"U.S. Department of Health & Human Services —
2015-2022. This data set contains data from BRFSS."
Walkability Index,580,"U.S. Environmental Protection Agency —
The Walkability Index dataset characterizes every Census 2019 block group in the U.S. based on its relative walkability. Walkability depends upon characteristics of..."
Pittsburgh American Community Survey 2015 - Miscellaneous Data,570,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
Miscellaneous Reports from the 2015 American Community Survey Report"
Water Quality Data,544,"Department of the Interior —
Water quality data for the Refuge collected by volunteers collected once every two weeks: Turbidity, pH, Dissolved oxygen (DO), Salinity & Temperature. Sampling..."
Adult Depression (LGHC Indicator),536,"State of California —
This is a source dataset for a Let's Get Healthy California indicator at ""https://letsgethealthy.ca.gov/."" This table displays the proportion of adults who were ever..."
U.S. Food Imports,532,"Department of Agriculture —
U.S. consumers demand variety, quality, and convenience in the foods they consume. As Americans have become wealthier and more ethnically diverse, the American food..."
Quick Stats Agricultural Database API,531,"Department of Agriculture —
Quick Stats API is the programmatic interface to the National Agricultural Statistics Service's (NASS) online database containing results from the 1997, 2002, 2007,..."
Federal Criminal Case Processing Statistics (FCCPS),530,"Department of Justice —
The Federal Criminal Case Processing Statistics (FCCPS) data tool is an interface that can be used to analyze federal case processing data. Users can generate various..."
NCHS - Leading Causes of Death: United States,529,"U.S. Department of Health & Human Services —
This dataset presents the age-adjusted death rates for the 10 leading causes of death in the United States beginning in 1999. Data are based on information from all..."
Meteorite Landings,529,"National Aeronautics and Space Administration —
This comprehensive data set from The Meteoritical Society contains information on all of the known meteorite landings. The Fusion Table is collected by Javier de la..."
Statewide Hybrid Workforce,513,"State of California —
Statewide Telework data"
Feed Grains Database,509,"Department of Agriculture —
The Feed Grains Database contains statistics on four feed grains (corn, grain sorghum, barley, and oats), foreign coarse grains (feed grains plus rye, millet, and..."
Consumer Complaint Database,505,"Consumer Financial Protection Bureau —
The Consumer Complaint Database is a collection of complaints about consumer financial products and services that we sent to companies for response. Complaints are..."
Work Opportunity Tax Credit (WOTC) certification data,491,"Department of Labor —
State workforce agencies submit performance data on WOTC certification activities to ETA through the quarterly electronic submission of ETA Form 9058 via the web-..."
COVID-19 Outcomes by Vaccination Status - Historical,491,"City of Chicago —
NOTE: This dataset has been retired and marked as historical-only. Weekly rates of COVID-19 cases, hospitalizations, and deaths among people living in Chicago by..."
Corporations Search (Washington state),484,"State of Washington —
This provides a link to the Washington Secretary of State's Corporations Search tool. The Corporations Data Extract feature is no longer available. Customers needing..."
NYC Building Energy and Water Data Disclosure for Local Law 84 (2022-Present),478,"City of New York —
Local Law 84 of 2009 (LL84) requires annual energy and water benchmarking data to be submitted by owners of buildings with more than 50,000 square feet. This data is..."
Diabetes,477,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
These datasets provide de-identified insurance data for diabetes. The data is provided by three managed care organizations in Allegheny County (Gateway Health Plan,..."
NYPD Arrest Data (Year to Date),477,"City of New York —
This is a breakdown of every arrest effected in NYC by the NYPD during the current year. This data is manually extracted every quarter and reviewed by the Office of..."
USEEIO Models with Import Emission Factors for Greenhouse Gases for 2017-2022 from EXIOBASE coupled model,463,"U.S. Environmental Protection Agency —
These data are fully described in the associated EPA report. The Import Shares (ISs) are provided in a single Excel file covering all years. The Import Emission..."
Average Salary by Job Classification,457,"Montgomery County of Maryland —
This Dataset indicates average salary by position title and grade for full-time regular employees. Data excludes elected, appointed, non-merit and temporary..."
Auto Sales,448,"Department of Transportation —
Autos include all passenger cars, including station wagons. The U.S. Bureau of Economic Analysis releases auto and truck sales data, which are used in the preparation..."
311 Service Level Agreements,446,"City of New York —
Provides the time commitments that City Agencies have made to respond to 311 Service Requests that are assigned to them."
National Stock Number Extract,436,"General Services Administration —
National Stock Number extract includes the current listing of National Stock Numbers (NSNs) , NSN item name and descriptions, and current selling price of each..."
Baby Names from Social Security Card Applications - National Data,435,"Social Security Administration —
The data (name, year of birth, sex, and number) are from a 100 percent sample of Social Security card applications for 1880 onward."
NCDC Storm Events Database,433,"National Oceanic and Atmospheric Administration, Department of Commerce —
Storm Data is provided by the National Weather Service (NWS) and contain statistics on personal injuries and damage estimates. Storm Data covers the United States of..."
"TIGER/Line Shapefile, 2022, Nation, U.S., 2020 Census 5-Digit ZIP Code Tabulation Area (ZCTA5)",431,"U.S. Census Bureau, Department of Commerce —
The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master..."
Crash Reporting - Drivers Data,429,"Montgomery County of Maryland —
This dataset provides information on motor vehicle operators (drivers) involved in traffic collisions occurring on county and local roadways. The dataset reports..."
Violent Crime Rate,425,"State of California —
This table contains data on the rate of violent crime (crimes per 1,000 population) for California, its regions, counties, cities and towns. Crime and population data..."
Consumer Price Index (CPI),419,"U.S. Department of Labor Bureau of Labor Statistics —
The Consumer Price Index (CPI) is a measure of the average change over time in the prices paid by urban consumers for a market basket of consumer goods and services...."
Crimes - 2001 to Present,418,"City of Chicago —
This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that occurred in the City of Chicago from 2001 to..."
"Health conditions among children under age 18, by selected characteristics: United States",413,"U.S. Department of Health & Human Services —
NOTE: On October 19, 2021, estimates for 2016–2018 by health insurance status were revised to correct errors. Changes are highlighted and tagged at..."
Monthly Rates of Laboratory-Confirmed COVID-19 Hospitalizations from the COVID-NET Surveillance System,412,"U.S. Department of Health & Human Services —
The Coronavirus Disease 2019 (COVID-19) Hospitalization Surveillance Network (COVID-NET) a network that conducts active, population-based surveillance for laboratory-..."
2011-12 Discipline Estimations for Nation and by State Civil Rights Data Collection,399,"Department of Education —
This set of Excel files contains data for all disciplinary actions, presented for the nation and by state. For the nation and each state, there are three..."
Real Estate Across the United States (REXUS) Inventory (Building),397,"General Services Administration —
Real Estate Across the United States (REXUS) is the primary tool used by PBS to track and manage the government's real property assets and to store inventory data,..."
"U.S. Billion-dollar Weather and Climate Disasters, 1980 - present (NCEI Accession 0209268)",397,"National Oceanic and Atmospheric Administration, Department of Commerce —
This dataset contains U.S. disaster cost assessments of the total, direct losses ($) inflicted by: tropical cyclones, inland floods, drought & heat waves, severe..."
Cancer Rates,390,"Lake County, Illinois —
Cancer Rates for Lake County Illinois. Explanation of field attributes: Colorectal Cancer - Cancer that develops in the colon (the longest part of the large..."
Supply Chain GHG Emission Factors for US Commodities and Industries v1.1.1,389,"U.S. Environmental Protection Agency —
Tables presenting supply chain and margin emission factors and data quality scores for US commodities and industries calculated from USEEIO models at two levels of..."
FY23 Federal Real Property Profile (FRPP) Public Dataset,381,"General Services Administration —
The Federal Real Property Profile Management System (FRPP MS) is the federal government’s centralized inventory of real property under the custody and control of..."
Harmonized Tariff Schedule of the United States (2024),372,"US International Trade Commission —
This dataset is the current 2024 Harmonized Tariff Schedule plus all revisions for the current year. It provides the applicable tariff rates and statistical..."
"Global Historical Climatology Network - Daily (GHCN-Daily), Version 3",371,"National Oceanic and Atmospheric Administration, Department of Commerce —
The Global Historical Climatology Network - Daily (GHCN-Daily/GHCNd) dataset integrates daily climate observations from approximately 30 different data sources...."
"IPCC AR4, AR5, and AR6 20-, 100-, and 500-year GWPs",368,"U.S. Environmental Protection Agency —
The International Panel for Climate Change (IPCC) produces regular Assessment Reports that provide global warming potentials (GWPs) for greenhouse gases (GHG) in the..."
"Median Household Income in Maryland and Jurisdictions, 2013-2023",360,"State of Maryland —
The data consist of the median household income by year in Maryland and its jurisdictions with the margin of error for 2013-2023. MOE= Margin of Error for the 90%..."
Public School Characteristics 2022-23,356,"Department of Education —
The National Center for Education Statistics' (NCES) Education Demographic and Geographic Estimates (EDGE) program develops annually updated point locations (latitude..."
Census Data,348,"Department of Housing and Urban Development —
The Bureau of the Census has released Census 2000 Summary File 1 (SF1) 100-Percent data. The file includes the following population items: sex, age, race, Hispanic or..."
Financial Statement Data Sets,347,"Securities and Exchange Commission —
The data sets below provide selected information extracted from exhibits to corporate financial reports filed with the Commission using eXtensible Business Reporting..."
2017-18 Arrests Civil Rights Data Collection,347,"Department of Education —
This set of Excel file contains data on student referrals to law enforcement by disability and student-related arrests by disability for all states. It also contains..."
National Survey on Drug Use and Health (NSDUH-2015),345,"U.S. Department of Health & Human Services —
The National Survey on Drug Use and Health (NSDUH) series (formerly titled National Household Survey on Drug Abuse) primarily measures the prevalence and correlates..."
Quick Stats Agricultural Database,344,"Department of Agriculture —
Quick Stats is the National Agricultural Statistics Service's (NASS) online, self-service tool to access complete results from the 1997, 2002, 2007, and 2012 Censuses..."
National Database for Autism Research (NDAR),341,"U.S. Department of Health & Human Services —
National Database for Autism Research (NDAR) is an extensible, scalable informatics platform for autism spectrum disorder-relevant data at all levels of biological..."
Indicators of Anxiety or Depression Based on Reported Frequency of Symptoms During Last 7 Days,335,"U.S. Department of Health & Human Services —
The U.S. Census Bureau, in collaboration with five federal agencies, launched the Household Pulse Survey to produce data on the social and economic impacts of..."
"NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human",332,"U.S. Department of Health & Human Services —
NNDSS - TABLE 1CC. Rabies, Animal to Rabies, Human - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories,..."
U.S. Electric Utility Companies and Rates: Look-up by Zipcode (2020),331,"Department of Energy —
This dataset, compiled by NREL using data from ABB, the Velocity Suite and the U.S. Energy Information Administration dataset 861, provides average residential,..."
Motor Vehicle Registrations Dashboard data,329,"Department of Transportation —
The motor vehicle registration dashboard shows the number and type of vehicle (automobile, truck, motorcycle, and bus) registered over time in each state."
Chemicals in Cosmetics,325,"State of California —
These data reflect information that has been reported to the California Safe Cosmetics Program (CSCP) in the California Department of Public Health (CDPH). The..."
Voter Registration by Census Tract,323,"King County, Washington —
This web map displays data from the voter registration database as the percent of registered voters by census tract in King County, Washington. The data for this web..."
"Military Installations, Ranges, and Training Areas",321,"Department of Defense —
This dataset, released by DoD, contains geographic information for major installations, ranges, and training areas in the United States and its territories. This..."
2023 Yellow Taxi Trip Data,321,"City of New York —
These records are generated from the trip record submissions made by yellow taxi Technology Service Providers (TSPs). Each row represents a single trip in a yellow..."
"Rates and Trends in Heart Disease and Stroke Mortality Among US Adults (35+) by County, Age Group, Race/Ethnicity, and Sex – 2000-2019",317,"U.S. Department of Health & Human Services —
This dataset documents rates and trends in heart disease and stroke mortality. Specifically, this report presents county (or county equivalent) estimates of heart..."
"Provisional COVID-19 death counts, rates, and percent of total deaths, by jurisdiction of residence",309,"U.S. Department of Health & Human Services —
This file contains COVID-19 death counts, death rates, and percent of total deaths by jurisdiction of residence. The data is grouped by different time periods..."
USGS Water-Quality Data for the Nation - National Water Information System (NWIS),309,"Department of the Interior —
The USGS compiles online access to water-resources data collected at approximately 1.5 million sites in all 50 States, the District of Columbia, Puerto Rico, the..."
U.S. Marketing Air Carriers On-time Performance,307,"Department of Transportation —
Percentage of flights arriving on-time. A flight is on-time if it arrives within 15 minutes of the schedule arrival time. Data are available for those carriers that..."
Rare Earth Element Occurrences in the United States,303,"Department of the Interior —
Version 4.0 of this data release provides descriptions of more than 200 mineral districts, mines, and mineral occurrences (deposits, prospects, and showings) within..."
"Multibeam collection for MV1305: Multibeam data collected aboard Melville from 21-Mar-13 to 05-May-13, Yokohama, Japan to Honolulu, Hawaii",300,"National Oceanic and Atmospheric Administration, Department of Commerce —
This data set is part of a larger set of data called the Multibeam Bathymetry Database (MBBDB) where other similar data can be found"
Traffic Crashes - Crashes,299,"City of Chicago —
Crash data shows information about each traffic crash on city streets within the City of Chicago limits and under the jurisdiction of Chicago Police Department (CPD)...."
Food Affordability,297,"State of California —
This table contains data on the average cost of a market basket of nutritious food items relative to income for female-headed households with children, for..."
Regional Air Quality Data,297,"U.S. Environmental Protection Agency —
This asset provides data on regional air quality, including trace level SO2, nitric acid, ozone, carbon monoxide, and NOy; and particulate sulfate, nitrate, and..."
Metropolitan Export Series,295,"Department of Commerce —
This tool provides data on exports of goods from major U.S. metropolitan areas, as defined by the Bureau of the Census. These data are based on an Origin of Movement..."
Expenditure and Employment Data for the Criminal Justice System Series,292,"Department of Justice —
Investigator(s): Bureau of Justice Statistics These data collections present public expenditure and employment data pertaining to criminal justice activities in the..."
EZAUCR Arrest Statistics,286,"Department of Justice —
Easy Access to FBI Arrest Statistics: 1994-2014"
Microplastics in Drinking Water,281,"State of California —
Alpha Version Data (has undergone several rounds of internal review from the Moore Institute and is ready for external review) This dataset is part of the..."
MVA Vehicle Sales Counts by Month for Calendar Year 2002 through November 2024,274,"State of Maryland —
The number of new and used vehicles and the sales dollars respectively sold by month. MDOT MVA’s Customer Connect modernization project, implemented in July 2020, has..."
"Normal weight, overweight, and obesity among adults aged 20 and over, by selected characteristics: United States",265,"U.S. Department of Health & Human Services —
Data on normal weight, overweight, and obesity among adults aged 20 and over by selected population characteristics. Please refer to the PDF or Excel version of this..."
Harmonized Tariff Schedule of the United States (2023),264,"US International Trade Commission —
This dataset is the current 2023 Harmonized Tariff Schedule plus all revisions for the current year. It provides the applicable tariff rates and statistical..."
Development Experience Clearinghouse (DEC),264,"US Agency for International Development —
The DEC is a publicly available document repository for technical and programmatic documents related to USAID programming that is managed by USAID's Data Services..."
Supply Chain Shipment Pricing Dataset,257,"US Agency for International Development —
This dataset provides supply chain health commodity shipment and pricing data. Specifically, the data set identifies Antiretroviral (ARV) and HIV lab shipments to..."
Grocery Store Locations,256,"District of Columbia —
We started with ABCA's definition of “Full-Service Grocery Stores” (https://abca.dc.gov/page/full-service-grocery-store#gsc.tab=0)– pulled from the Food System..."
U.S. Daily Climate Normals (1981-2010),252,"National Oceanic and Atmospheric Administration, Department of Commerce —
The U.S. Daily Climate Normals for 1981 to 2010 are 30-year averages of meteorological parameters for thousands of U.S. stations located across the 50 states, as well..."
CA Geographic Boundaries,249,"State of California —
This dataset contains shapefile boundaries for CA State, counties and places from the US Census Bureau's 2023 MAF/TIGER database. Current geography in the 2023..."
Low and Moderate Income Areas,246,"Department of Housing and Urban Development —
This dataset and map service provides information on the U.S. Housing and Urban Development's (HUD) low to moderate income areas. The term Low to Moderate Income,..."
2017-18 Harassment or Bullying Civil Rights Data Collection,245,"Department of Education —
This set of Excel files contains data on students reported as harassed or bullied or disciplined for harassment or bullying on the basis of sex, race, or disability..."
DOB Sustainability Compliance Map: Local Law 33,245,"City of New York —
Data used to feed Sustainability Compliance Map. This data comes from the NYC Department of Finance, the US EPA's Portfolio Manager, and grading metric based on..."
"1 meter Digital Elevation Models (DEMs) - USGS National Map 3DEP Downloadable Data
Collection",240,"Department of the Interior —
This is a tiled collection of the 3D Elevation Program (3DEP) and is one meter resolution. The 3DEP data holdings serve as the elevation layer of The National Map,..."
Adoptable Pets,239,"Montgomery County of Maryland —
This dataset contains a list of shelter animals that are ready to be adopted from the Montgomery County Animal Services and Adoption Center at 7315 Muncaster Mill..."
SAFER - Company Snapshot,237,"Department of Transportation —
The Company Snapshot is a concise electronic record of company identification, size, commodity information, and safety record, including the safety rating (if any), a..."
Supply Chain Greenhouse Gas Emission Factors for US Industries and Commodities,236,"U.S. Environmental Protection Agency —
Many organizations quantify greenhouse emissions in their value chain. Emissions from purchased goods and services and capital goods, referred to as Scope 3 emissions..."
DC Office of Tax and Revenue Real Property Assessment Map App,234,"District of Columbia —
The DC Office of the Chief Financial Officer (OCFO), Office of Tax and Revenue (OTR), Real Property Tax Administration (RPTA) values all real property in the District..."
U.S. Department of Education Budget History,231,"Department of Education —
Detailed tables showing the budget history of the U.S. Department of Education from FY 1980 to the FY 2018 President's Budget, by major program, and showing State..."
Electricity Data and Statistics Application Programming Interface (API),228,"Department of Energy —
Monthly, quarterly, and annual data on electricity generation, consumption, retail sales, price, revenue from retail sales, useful thermal output, fossil fuel stocks,..."
Farmers Markets Directory and Geographic Data,223,"Department of Agriculture —
Longitude and latitude, state, address, name, and zip code of Farmers Markets in the United States"
Prescription Monitoring Program: CT Prescription Monitoring & Reporting System (CPMRS) Gateway Connections and Usage,222,"State of Connecticut —
This dataset shows the number of authorized licensees, gateway licensees who searched and the number of searches. The gateway allows prescribers and pharmacists to..."
FWS Critical Habitat for Threatened and Endangered Species Dataset,219,"Department of the Interior —
When a species is proposed for listing as endangered or threatened under the Endangered Species Act, the U.S. Fish and Wildlife Service must consider whether there..."
Li-ion Battery Aging Datasets,218,"National Aeronautics and Space Administration —
This data set has been collected from a custom built battery prognostics testbed at the NASA Ames Prognostics Center of Excellence (PCoE). Li-ion batteries were run..."
National Park Boundaries,217,"Earth Data Analysis Center, University of New Mexico —
National Park Service unit boundaries."
City and County Vehicle Inventories,217,"Department of Energy —
This light-duty vehicle inventory dataset provides information on vehicle registrations by vehicle type (car vs. truck), fuel type, and model year showing the changes..."
Chicago Public Schools - School Progress Reports SY2324,215,"City of Chicago —
2023-2024 school progress report ratings for all Chicago Public Schools, based on 2022-2023 data."
MTA Bridges & Tunnels Safety Indicators: Beginning 2018,215,"State of New York —
This dataset provides information on various indicators of safety measured by MTA Bridges & Tunnels, along with targets for some indicators. The indicators are a..."
National USFS Fire Occurrence Point (Feature Layer),213,"Department of Agriculture —
The FireOccurrence point layer represents ignition points, or points of origin, from which individual USFS wildland fires started. Data are maintained at the..."
"School Neighborhood Poverty Estimates, 2020-21",212,"Department of Education —
The 2020-2021 School Neighborhood Poverty Estimates are based on school locations from the 2020-2021 Common Core of Data (CCD) school file and income data from..."
National Fire Incident Reporting System (NFIRS),210,"Department of Homeland Security —
The National Fire Incident Reporting System (NFIRS) is a reporting standard that fire departments use to uniformly report on the full range of their activities from..."
National Missing and Unidentified Persons System (NamUs),204,"Department of Justice —
NamUs is the only national repository for missing, unidentified, and unclaimed persons cases. The program provides a singular resource hub for law enforcement,..."
Military Bases,204,"Department of Transportation —
The Military Bases dataset was last updated on October 23, 2024 and are defined by Fiscal Year 2023 data, from the Office of the Assistant Secretary of Defense for..."
"USDA National Nutrient Database for Standard Reference, Legacy Release",202,"Department of Agriculture —
[Note: Integrated as part of FoodData Central, April 2019.] The USDA National Nutrient Database for Standard Reference (SR) is the major source of food composition..."
"2022 Cartographic Boundary File (SHP), United States, 1:20,000,000",200,"U.S. Census Bureau, Department of Commerce —
The 2022 cartographic boundary shapefiles are simplified representations of selected geographic areas from the U.S. Census Bureau's Master Address File /..."
FoodData Central,200,"Department of Agriculture —
Several USDA food composition databases, including the Food and Nutrient Database for Dietary Studies (FNDDS), Standard Reference (SR) Legacy, and the USDA Branded..."
National Agriculture Imagery Program (NAIP) Imagery,198,"Department of Agriculture —
The National Agriculture Imagery Program (NAIP) is administered by the U.S. Department of Agriculture's Farm Production and Conservation Business Center (FPAC-BC)..."
"Individuals, ZIP Code Data",196,"Department of the Treasury —
This annual study provides selected income and tax items classified by State, ZIP Code, and the size of adjusted gross income. These data include the number of..."
NPL Superfund Site Boundaries (EPA),196,"U.S. Environmental Protection Agency —
This GIS dataset contains polygons depicting U.S. EPA Superfund Site boundaries. Site boundaries are polygons representing the footprint of a whole site, defined for..."
Air Quality Measures on the National Environmental Health Tracking Network,195,"U.S. Department of Health & Human Services —
The Environmental Protection Agency (EPA) provides air pollution data about ozone and particulate matter (PM2.5) to CDC for the Tracking Network. The EPA maintains a..."
Civil Rights Data Collection (CRDC),194,"Department of Education —
Since 1968, OCR has collected civil rights data related to students' access and barriers to educational opportunity from early childhood through grade 12. These data..."
MTA Metro-North On-Time Performance: Beginning 2020,193,"State of New York —
On-Time Performance (OTP) determines how frequently a commuter train arrives at its final destination within 5 minutes and 59 seconds of its scheduled time."
"Conditions Contributing to COVID-19 Deaths, by State and Age, Provisional 2020-2023",191,"U.S. Department of Health & Human Services —
Effective September 27, 2023, this dataset will no longer be updated. Similar data are accessible from wonder.cdc.gov. This dataset shows health conditions and..."
Global Landslide Catalog Export,190,"National Aeronautics and Space Administration —
The Global Landslide Catalog (GLC) was developed with the goal of identifying rainfall-triggered landslide events around the world, regardless of size, impacts or..."
Toxics Release Inventory (TRI),189,"U.S. Environmental Protection Agency —
The Toxics Release Inventory (TRI) is a dataset compiled by the U.S. Environmental Protection Agency (EPA). It contains information on the release and waste..."
Listing of Active Businesses,185,"City of Los Angeles —
Listing of all active businesses currently registered with the Office of Finance. An ""active"" business is defined as a registered business whose owner has not..."
The National Artificial Intelligence Research And Development Strategic Plan,184,"Networking and Information Technology Research and Development, Executive Office of the President —
Executive Summary: Artificial intelligence (AI) is a transformative technology that holds promise for tremendous societal and economic benefit. AI has the potential..."
Traffic Violations,182,"Montgomery County of Maryland —
This dataset contains traffic violation information from all electronic traffic violations issued in the County. Any information that can be used to uniquely identify..."
Total Energy Data and Statistics,181,"Department of Energy —
Comprehensive monthly and annual time series on all energy sources. Data on production, consumption, reserves, stocks, prices, imports, and exports. Monthly time..."
Food Access Research Atlas,181,"Department of Agriculture —
The Food Access Research Atlas presents a spatial overview of food access indicators for low-income and other census tracts using different measures of supermarket..."
"Civil Rights Data Collection, 2011-12",179,"Department of Education —
The Civil Rights Data Collection, 2011-12 (CRDC 2011-12), is part of the Civil Rights Data Collection (CRDC) program. CRDC 2011-12 (https://ocrdata.ed.gov/) is a..."
Allegheny County Property Viewer,179,"Allegheny County / City of Pittsburgh / Western PA Regional Data Center —
Webmap of Allegheny municipalities and parcel data. Zoom for a clickable parcel map with owner name, property photograph, and link to the County Real Estate website..."
Data from: The influence of active video game play upon physical activity and screen-based activities in sedentary children,178,"Department of Agriculture —
Includes 24 hour recall data that children were instructed to fill-out describing the previous day’s activities at baseline, weeks 2 and 4 of the intervention, after..."
Subcontracting Directory for Small Businesses,178,"General Services Administration —
The GSA Subcontracting Directory list large Prime Contractors who, by law, are required to establish plans and goals for subcontracting with Small Business Firms."
Smart Location Database,177,"U.S. Environmental Protection Agency —
A large body of research has demonstrated that land use and urban form can have a significant effect on transportation outcomes. People who live and/or work in..."
NYPD Shooting Incident Data (Historic),176,"City of New York —
List of every shooting incident that occurred in NYC going back to 2006 through the end of the previous calendar year. This is a breakdown of every shooting incident..."
